"";"item";"party";"region";"median";"mean";"median_integer";"median_conservative";"sd";"lower_quantile";"upper_quantile";"lower_ci";"upper_ci";"n"
"109";"publicdebt";"fdp";"be";19;19,1111111111111;19;19;4,10702411227686;7,6;20;16,9994741630907;21,2227480591316;17
"110";"publicdebt";"greens";"be";6,5;6,2;6;7;5,54718323386431;1;18;3,44145067588806;8,95854932411194;18
"111";"publicdebt";"left";"be";1;1,27272727272727;1;1;4,23477665684193;1;13,5;-0,654919950477435;3,20037449593198;21
"112";"publicdebt";"spd";"be";8,5;8,5;9;9;4,65451417061998;1;17,95;6,43630402818132;10,5636959718187;22
"113";"labour";"afd";"be";16;16,625;16;16;3,6308068828691;7,35;20;15,2692344285531;17,9807655714469;30
"114";"labour";"bsw";"be";7;7;7;7;2,62280097745145;2,85;11,575;5,69571175881482;8,30428824118518;18
"115";"labour";"cdu";"be";16;15,5;16;16;3,12362873139765;9,1;20;14,373811747968;16,626188252032;32
"116";"labour";"fdp";"be";19;18,9166666666667;19;19;1,79320375589193;14,575;20;18,1594631291571;19,6738702041763;24
"117";"labour";"greens";"be";6;6,375;6;6;2,88471360461401;1,775;10,675;5,33494983675938;7,41505016324062;32
"118";"labour";"left";"be";2;1,64705882352941;2;2;2,91580073725794;1;9,00000000000003;0,61316083859133;2,68095680846749;33
"119";"labour";"spd";"be";7,5;7,5;8;8;3,10941299892133;1;13,35;6,41507451502288;8,58492548497712;34
"120";"housing";"afd";"be";1;1,5;1;1;3,6571454228234;1;12,55;0,134399456100945;2,86560054389905;30
"121";"housing";"bsw";"be";14;13,8571428571429;14;14;4,29818089130262;5;18,4;11,2597781395948;16,4545075746909;13
"122";"housing";"cdu";"be";1;1,375;1;1;2,38590450826948;1;9,45;0,514789693738338;2,23521030626166;32
"123";"housing";"fdp";"be";1;1;1;1;0,9198662110078;1;3,7;0,636113046246149;1,36388695375385;27
"124";"housing";"greens";"be";16;15,0588235294118;16;16;3,44885831195107;6,75;20;13,7937720873635;16,3238749714601;31
"125";"housing";"left";"be";20;19,8235294117647;20;20;0,938446491911935;17;20;19,4907707549189;20,1562880686105;33
"126";"housing";"spd";"be";8,5;9,38888888888889;9;9;5,56632349214913;1,825;19,175;7,44670680617605;11,3310709716017;34
"127";"publicinvest";"afd";"be";3,5;3,83333333333333;4;4;4,36305304621179;1;15,85;1,99097761102424;5,67568905564243;24
"128";"publicinvest";"bsw";"be";14;13,7777777777778;14;14;3,01898753132333;8,35;18,6;12,1059182087164;15,4496373468391;15
"129";"publicinvest";"cdu";"be";8;8,66666666666667;8;8;4,6623912038665;1,65;16;6,82228613384444;10,5110471994889;27
"130";"publicinvest";"fdp";"be";2,5;2,66666666666667;3;3;2,73505383503131;1;8,89999999999999;1,45401173101534;3,87932160231799;22
"131";"publicinvest";"greens";"be";16,5;16,2857142857143;16;16;3,11932023526901;9,7;20;15,0761681687695;17,4952604026591;28
"132";"publicinvest";"left";"be";19;18,8;19;19;2,08265177685693;13,7;20;18,0078016316354;19,5921983683646;29
"133";"publicinvest";"spd";"be";14,5;14,75;15;14;3,86392094348102;6;19,275;13,307188207756;16,192811792244;30
"134";"afdcoop";"afd";"be";20;20;20;20;1,06770782520313;16,625;20;19,5687434764232;20,4312565235768;26
"135";"afdcoop";"bsw";"be";14;14,0909090909091;14;14;4,5870399684889;3,7;19,55;11,8800265964788;16,3017915853394;19
"136";"afdcoop";"cdu";"be";8;7,9375;8;8;3,78821524106586;2,45;16,375;6,52295718162544;9,35204281837456;30
"137";"afdcoop";"fdp";"be";9;8,69230769230769;9;9;4,60537578987947;2,55;18,45;6,70079385955926;10,6838215250561;23
"138";"afdcoop";"greens";"be";1;1;1;1;0,971430986184577;1;4,275;0,637261708321706;1,36273829167829;30
"139";"afdcoop";"left";"be";1;1;1;1;0,895778630487862;1;4,225;0,677037363648092;1,32296263635191;32
"140";"afdcoop";"spd";"be";2,5;2,9375;3;3;2,40777470546105;1;7,225;2,06940464680584;3,80559535319416;32
"141";"climatepolicy";"afd";"be";20;19,4;20;20;1,42635295723769;16,1;20;18,8574443514792;19,9425556485208;29
"142";"climatepolicy";"bsw";"be";14;14,125;14;14;3,01039864469807;10,375;19,25;12,5208717942011;15,7291282057989;16
"143";"climatepolicy";"cdu";"be";15;15,1764705882353;15;15;3,45384311428075;9,75;20;13,9095907059308;16,4433504705398;31
"144";"climatepolicy";"fdp";"be";17;17,2142857142857;17;17;3,01911897166696;11,05;20;16,0435935912119;18,3849778373595;28
"145";"climatepolicy";"greens";"be";2;2,47058823529412;2;2;1,63693918410951;1;6;1,87015409503754;3,0710223755507;31
"146";"climatepolicy";"left";"be";4;4;4;4;3,02609617568843;1;10,675;2,90897598414187;5,09102401585813;32
"147";"climatepolicy";"spd";"be";10;10,1176470588235;10;10;3,47011046894284;4,4;16,6;8,88719938950628;11,3480947281408;33
